@W: CG104 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/macros/ACX_DEVICE_MANAGER.svp":20403:29:20403:29|Unsized number in concatenation is 32 bits
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":672:3:672:8|Pruning unused register xact_aw_len[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":672:3:672:8|Pruning unused register xact_aw_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":569:3:569:8|Pruning unused register xact_write_valid_d. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":569:3:569:8|Pruning unused register aw_sequence_error. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":410:3:410:8|Pruning unused register xact_ar_burst[1:0]. Make sure that there are no unused intermediate registers.
@W: CG390 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/msix_irq_handler.sv":145:50:145:73|Repeat multiplier in concatenation evaluates to 0
@W: CG390 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/msix_irq_handler.sv":158:50:158:73|Repeat multiplier in concatenation evaluates to 0
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/acx_device_manager.sv":46:17:46:24|Removing wire not_used, as there is no assignment to it.
@W: CS263 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/syn/speedster7t_user_macros_core.sv":3002:16:3002:19|Port-width mismatch for port dout. The port definition is 256 bits, but the actual port connection bit width is 12. Adjust either the definition or the instantiation of this port.
@W: CG1283 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1056:6:1056:15|Ignoring localparam max_dut_name_chars on the instance and using locally defined value
@W: CG1283 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/common/speedster7t_snapshot_v3.sv":2183:4:2183:14|Ignoring localparam data_width on the instance and using locally defined value
@W: CG390 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/common/speedster7t_snapshot_v3.sv":1945:35:1945:49|Repeat multiplier in concatenation evaluates to 0
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.dim_b[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.dim_c[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.dim_v[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.flags.reserved[4:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.flags.main_loop_over_left. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.flags.right_man_4b. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.flags.left_man_4b. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.vec_len[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.right_ugd_len[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.left_ugd_len[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.right_addr[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":392:4:392:12|Pruning unused register tile_cmd.left_addr[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":336:4:336:12|Pruning unused register disp_cmd.reserved[12:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":336:4:336:12|Pruning unused register disp_cmd.man_4b_8b_n. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":336:4:336:12|Pruning unused register disp_cmd.len[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":336:4:336:12|Pruning unused register disp_cmd.tile_addr[10:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/master_control.sv":266:4:266:12|Pruning unused register payload_count_reg[2:0]. Make sure that there are no unused intermediate registers.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":153:31:153:47|Object bram_rd_data_wire is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":650:4:650:12|Pruning unused register beat_count_reg[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":290:4:290:12|Pruning unused register disp_man_4b_reg. Make sure that there are no unused intermediate registers.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_bram.sv":60:27:60:37|Object rd_ptr_next is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_bram.sv":126:4:126:12|Pruning unused register rd_valid. Make sure that there are no unused intermediate registers.
@W: CG141 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":344:6:344:25|Creating black box for compute_tile_array
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":195:29:195:42|Port-width mismatch for port o_count. The port definition is 7 bits, but the actual port connection bit width is 13. Adjust either the definition or the instantiation of this port.
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":218:29:218:36|Port-width mismatch for port i_ce_state. The port definition is 4 bits, but the actual port connection bit width is 64. Adjust either the definition or the instantiation of this port.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":125:41:125:55|Object ce_mc_tile_done is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":149:19:149:32|Object ce_result_data is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":150:19:150:33|Object ce_result_valid is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":151:19:151:35|Object ce_result_tile_id is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":166:17:166:28|Object result_count is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":153:31:153:47|Object bram_rd_data_wire is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":650:4:650:12|Pruning unused register beat_count_reg[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":290:4:290:12|Pruning unused register disp_man_4b_reg. Make sure that there are no unused intermediate registers.
@W: CG141 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":344:6:344:25|Creating black box for compute_tile_array
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":195:29:195:42|Port-width mismatch for port o_count. The port definition is 7 bits, but the actual port connection bit width is 13. Adjust either the definition or the instantiation of this port.
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":218:29:218:36|Port-width mismatch for port i_ce_state. The port definition is 4 bits, but the actual port connection bit width is 64. Adjust either the definition or the instantiation of this port.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":125:41:125:55|Object ce_mc_tile_done is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":149:19:149:32|Object ce_result_data is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":150:19:150:33|Object ce_result_valid is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":151:19:151:35|Object ce_result_tile_id is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":166:17:166:28|Object result_count is declared but not assigned. Either assign a value or remove the declaration.
@W: CL168 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/engine_top.sv":344:6:344:25|Removing instance u_compute_tile_array because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[16] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[17] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[18] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[19] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[20] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[21] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[22] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[23] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[24] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[25] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[26] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[27] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[28] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[29] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[30] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[31] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[32] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[33] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[34] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[35] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[36] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[37] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[38] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[39] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[40] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[41] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[42] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[43] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[44] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[45] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[46] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[47] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[48] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[49] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[50] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[51] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[52] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[53] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[54] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[55] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[56] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[57] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[58] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[59] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[60] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[61] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[62] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[63] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[64] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[65] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[66] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[67] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[68] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[69] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[70] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[71] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
